"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
1.663,0.232,2.575,"Otto Matic",20012538," 12538 (1998 OH)",2460600.5,0.4058,1.542,220.69,321.79,317.04,699,24.54
2.060,0.199,3.893,"Otto Matic",20012923," 12923 Zephyr (1999 GK4)",2460600.5,0.4918,1.963,168.17,147.13,51.56,1e+03,5.30
0.562,0.511,33.644,"Otto Matic",20013651," 13651 (1997 BR)",2460600.5,0.3057,1.335,116.63,133.86,262.62,564,17.25
0.9,,,"Otto Matic",20014827," 14827 Hypnos (1986 JK)",2460600.5,0.6649,2.841,57.93,238.19,21.63,1.75e+03,1.98
,,2.8985,"Otto Matic",20016960," 16960 (1998 QS52)",2460600.5,0.8590,2.201,260.15,243.25,308.68,1.19e+03,17.52
,,,"Otto Matic",20020425," 20425 (1998 VD35)",2460600.5,0.4764,1.565,227.25,296.32,32.70,715,6.99
,,10.24,"Otto Matic",20022753," 22753 (1998 WT)",2460600.5,0.5699,1.219,307.36,324.80,165.33,492,3.20
,,2.5325,"Otto Matic",20023187," 23187 (2000 PN9)",2460600.5,0.5893,1.847,164.29,293.53,167.50,917,51.33
0.33,,12.132,"Otto Matic",20025143," 25143 Itokawa (1998 SF36)",2460600.5,0.2803,1.324,69.08,162.82,142.57,557,1.62
,,2.572,"Otto Matic",20026663," 26663 (2000 XK47)",2460600.5,0.4717,1.546,303.59,231.23,108.78,702,13.53
,,,"Otto Matic",20027002," 27002 (1998 DV9)",2460600.5,0.4333,1.744,130.34,0.82,203.62,841,8.70
1.3,0.070,2.1216,"Otto Matic",20029075," 29075 (1950 DA)",2460600.5,0.5077,1.699,356.59,224.76,223.31,809,12.16
,,5.807,"Otto Matic",20031669," 31669 (1999 JT6)",2460600.5,0.5776,2.137,78.77,39.10,97.39,1.14e+03,9.54
0.432,0.654,3.697,"Otto Matic",20033342," 33342 (1998 WT24)",2460600.5,0.4177,0.7187,81.66,167.52,27.50,223,7.37
0.929,0.408,2.6236,"Otto Matic",20035107," 35107 (1991 VH)",2460600.5,0.1442,1.137,139.34,206.96,100.55,443,13.91
0.704,0.772,3.259,"Otto Matic",20035396," 35396 (1997 XF11)",2460600.5,0.4837,1.442,213.65,103.04,272.13,633,4.10
,,3.5301,"Otto Matic",20037638," 37638 (1993 VB)",2460600.5,0.5199,1.913,145.56,323.20,236.56,966,5.08
,,2.6556,"Otto Matic",20037655," 37655 Illapa (1994 PM)",2460600.5,0.7525,1.478,139.52,303.90,254.99,656,18.03
,,216,"Otto Matic",20038071," 38071 (1999 GU3)",2460600.5,0.5075,2.089,195.49,8.81,162.10,1.1e+03,12.74
1.554,0.184,,"Otto Matic",20039572," 39572 (1993 DQ1)",2460600.5,0.4927,2.036,313.50,344.85,205.80,1.06e+03,10.03
0.204,0.267,,"Otto Matic",20041429," 41429 (2000 GE2)",2460600.5,0.5553,1.593,351.91,297.20,42.91,734,2.17
1.0,,14.28,"Otto Matic",20052760," 52760 (1998 ML14)",2460600.5,0.6233,2.409,338.68,20.37,347.09,1.37e+03,2.43
1.75,,4.112,"Otto Matic",20052768," 52768 (1998 OR2)",2460600.5,0.5755,2.38,26.94,174.59,81.21,1.34e+03,5.88
7.,,143.7,"Otto Matic",20053319," 53319 (1999 JM8)",2460600.5,0.6414,2.724,133.62,166.80,228.77,1.64e+03,13.84
,,5.03,"Otto Matic",20053426," 53426 (1999 SL5)",2460600.5,0.5391,1.923,239.06,43.36,167.90,974,22.77
,,,"Otto Matic",20053429," 53429 (1999 TF5)",2460600.5,0.6410,2.022,199.16,64.09,281.57,1.05e+03,26.78
