"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
2.8,0.22,75,"Otto Matic",20003288,"  3288 Seleucus (1982 DV)",2460600.5,0.4549,2.035,218.61,349.35,241.11,1.06e+03,5.93
,,2.206,"Otto Matic",20003352,"  3352 McAuliffe (1981 CW)",2460600.5,0.3691,1.879,107.33,16.07,347.84,941,4.77
1.8,0.17,,"Otto Matic",20003360,"  3360 Syrinx (1981 VA)",2460600.5,0.7457,2.468,242.46,63.56,49.58,1.42e+03,21.14
0.3,0.357,3.5327,"Otto Matic",20003361,"  3361 Orpheus (1982 HR)",2460600.5,0.3229,1.21,188.68,302.34,24.54,486,2.66
0.7,0.21,,"Otto Matic",20003362,"  3362 Khufu (1984 QA)",2460600.5,0.4685,0.9895,152.40,55.09,359.85,360,9.92
0.9,0.37,4.93,"Otto Matic",20003551,"  3551 Verenia (1983 RD)",2460600.5,0.4870,2.093,173.78,193.30,203.09,1.11e+03,9.51
19.0,0.03,6.665,"Otto Matic",20003552,"  3552 Don Quixote (1983 SA)",2460600.5,0.7073,4.267,349.96,316.53,263.48,3.22e+03,31.06
,,3.1944,"Otto Matic",20003553,"  3553 Mera (1985 JA)",2460600.5,0.3199,1.645,232.49,288.88,289.71,770,36.78
3.341,0.074,2.53001,"Otto Matic",20003554,"  3554 Amun (1986 EB)",2460600.5,0.2806,0.974,358.60,359.42,226.57,351,23.36
1.5,0.16,2.7053,"Otto Matic",20003671,"  3671 Dionysus (1984 KD)",2460600.5,0.5420,2.2,82.05,204.33,131.35,1.19e+03,13.54
4.3,0.515,226.8,"Otto Matic",20003691,"  3691 Bede (1982 FT)",2460600.5,0.2844,1.774,348.70,235.08,345.07,863,20.35
2.306,0.210,37.846,"Otto Matic",20003752,"  3752 Camillo (1985 PA)",2460600.5,0.3016,1.414,147.96,312.22,8.79,614,55.56
2.071,0.365,27.3099,"Otto Matic",20003753,"  3753 Cruithne (1986 TO)",2460600.5,0.5148,0.9978,126.19,43.88,308.80,364,19.80
0.5,0.18,9.012,"Otto Matic",20003757,"  3757 Anagolay (1982 XB)",2460600.5,0.4459,1.834,74.93,17.24,293.70,908,3.87
,,2.3812,"Otto Matic",20003838,"  3838 Epona (1986 WA)",2460600.5,0.7027,1.505,235.47,49.72,225.76,674,29.20
1.0,0.23,4.42601,"Otto Matic",20003908,"  3908 Nyx (1980 PA)",2460600.5,0.4592,1.928,261.20,126.65,165.71,978,2.19
0.7,,10.53,"Otto Matic",20003988,"  3988 Huma (1986 LA)",2460600.5,0.3166,1.545,229.79,86.91,316.36,701,10.77
4,0.05,3.5736,"Otto Matic",20004015,"  4015 Wilson-Harrington (1979 VA)",2460600.5,0.6312,2.626,266.73,95.52,181.75,1.55e+03,2.80
0.42,0.52,44.4,"Otto Matic",20004034,"  4034 Vishnu (1986 PA)",2460600.5,0.4441,1.06,157.89,296.70,260.40,398,11.17
2.49,0.31,7.475,"Otto Matic",20004055,"  4055 Magellan (1985 DO2)",2460600.5,0.3261,1.82,164.82,154.38,267.34,897,23.25
5.4,0.405,176.,"Otto Matic",20004179,"  4179 Toutatis (1989 AC)",2460600.5,0.6248,2.543,125.36,277.88,339.68,1.48e+03,0.45
3.651,0.097,3.5595,"Otto Matic",20004183,"  4183 Cuno (1959 LM)",2460600.5,0.6361,1.981,294.35,237.02,175.91,1.02e+03,6.67
1.8,0.37,3.538,"Otto Matic",20004197,"  4197 Morpheus (1982 TA)",2460600.5,0.7724,2.295,7.01,122.55,357.11,1.27e+03,12.60
,,4.4,"Otto Matic",20004257,"  4257 Ubasti (1987 QA)",2460600.5,0.4683,1.647,169.15,278.94,160.95,772,40.72
3.177,0.054,6.262,"Otto Matic",20004341,"  4341 Poseidon (1987 KF)",2460600.5,0.6800,1.834,108.03,15.83,44.04,907,11.84
1.801,0.343,6.67,"Otto Matic",20004401,"  4401 Aditi (1985 TB)",2460600.5,0.5633,2.584,22.78,68.15,133.50,1.52e+03,26.63
,,56.48,"Otto Matic",20004450,"  4450 Pan (1987 SY)",2460600.5,0.5866,1.443,311.70,291.94,192.17,633,5.52
1.849,0.297,67.5,"Otto Matic",20004486,"  4486 Mithra (1987 SB)",2460600.5,0.6620,2.205,82.18,169.12,156.61,1.2e+03,3.04
,,,"Otto Matic",20004487,"  4487 Pocahontas (1987 UA)",2460600.5,0.2966,1.73,198.10,173.99,95.85,831,16.41
,,2.8164,"Otto Matic",20004503,"  4503 Cleobulus (1989 WM)",2460600.5,0.5247,2.703,45.94,76.25,287.79,1.62e+03,2.51
1.3,,37.65,"Otto Matic",20004544,"  4544 Xanthus (1989 FB)",2460600.5,0.2501,1.042,23.95,333.83,354.50,388,14.14
,,8.008,"Otto Matic",20004581,"  4581 Asclepius (1989 FC)",2460600.5,0.3570,1.023,180.20,255.38,212.12,378,4.92
,,2.49101,"Otto Matic",20004596,"  4596 (1981 QB)",2460600.5,0.5200,2.24,154.19,248.42,290.19,1.22e+03,37.07
0.33,0.55,15.1749,"Otto Matic",20004660,"  4660 Nereus (1982 DB)",2460600.5,0.3587,1.485,313.11,159.54,191.96,661,1.45
0.6,0.18,,"Otto Matic",20004688,"  4688 (1980 WF)",2460600.5,0.5179,2.232,241.23,213.80,45.35,1.22e+03,6.38
1.4,0.092,4.095,"Otto Matic",20004769,"  4769 Castalia (1989 PB)",2460600.5,0.4832,1.063,325.51,121.44,324.11,400,8.88
,,21.1,"Otto Matic",20004947,"  4947 Ninkasi (1988 TJ1)",2460600.5,0.1685,1.37,215.43,192.93,144.57,586,15.65
,,14.218,"Otto Matic",20004953,"  4953 (1990 MU)",2460600.5,0.6574,1.621,77.53,77.93,285.02,754,24.38
10.8,0.176,12.056,"Otto Matic",20004954,"  4954 Eric (1990 SQ)",2460600.5,0.4494,2.001,358.41,52.62,347.92,1.03e+03,17.43
3.499,0.132,2.892,"Otto Matic",20004957,"  4957 Brucemurray (1990 XJ)",2460600.5,0.2189,1.565,254.88,97.48,150.48,715,35.01
,,56.3,"Otto Matic",20005011,"  5011 Ptah (6743 P-L)",2460600.5,0.5001,1.636,10.63,105.94,173.66,764,7.41
,,37.2,"Otto Matic",20005131,"  5131 (1990 BG)",2460600.5,0.5692,1.486,110.34,135.87,358.09,662,36.44
