"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
,,,"Nick Mastrodemos",1002342,"   73P/Schwassmann-Wachmann 3-U",2453839.5,0.6894,3.024,69.83,198.84,349.50,1.92e+03,11.36
,,,"Davide Farnocchia",1002343,"   73P/Schwassmann-Wachmann 3-V",2453824.5,0.6935,3.002,66.63,203.11,346.61,1.9e+03,11.57
,,,"Davide Farnocchia",1002344,"   73P/Schwassmann-Wachmann 3-W",2453834.5,0.6983,3.112,70.04,198.63,349.15,2.01e+03,11.42
,,,"Davide Farnocchia",1002345,"   73P/Schwassmann-Wachmann 3-X",2453838.5,0.6954,3.083,69.94,198.74,349.70,1.98e+03,11.40
,,,"Davide Farnocchia",1002346,"   73P/Schwassmann-Wachmann 3-Y",2453828.5,0.7181,3.332,70.63,198.01,349.21,2.22e+03,11.55
,,,"Davide Farnocchia",1002348,"   73P/Schwassmann-Wachmann 3-Z",2453830.5,0.6934,3.073,70.58,197.91,348.24,1.97e+03,11.34
,,,"Nick Mastrodemos",1002349,"   73P/Schwassmann-Wachmann 3-AA",2453839.5,0.6806,2.941,69.57,199.11,349.02,1.84e+03,11.30
,,,"Nick Mastrodemos",1002350,"   73P/Schwassmann-Wachmann 3-AB",2453856.5,0.6912,3.042,69.86,198.82,352.81,1.94e+03,11.37
,,,"Nick Mastrodemos",1002351,"   73P/Schwassmann-Wachmann 3-AC",2453856.5,0.6954,3.083,69.93,198.75,352.96,1.98e+03,11.41
,,,"Nick Mastrodemos",1002352,"   73P/Schwassmann-Wachmann 3-AD",2453839.5,0.6934,3.068,70.22,198.37,349.79,1.96e+03,11.37
,,,"Nick Mastrodemos",1002353,"   73P/Schwassmann-Wachmann 3-AE",2453839.5,0.6967,3.096,69.97,198.71,349.99,1.99e+03,11.41
,,,"Nick Mastrodemos",1002354,"   73P/Schwassmann-Wachmann 3-AF",2453839.5,0.6763,2.908,69.85,198.72,349.26,1.81e+03,11.24
,,,"Nick Mastrodemos",1002355,"   73P/Schwassmann-Wachmann 3-AG",2453839.5,0.6958,3.087,69.96,198.71,349.82,1.98e+03,11.41
,,,"Nick Mastrodemos",1002356,"   73P/Schwassmann-Wachmann 3-AH",2453839.5,0.6934,3.075,70.71,197.74,349.83,1.97e+03,11.33
,,,"Otto Matic",1002357,"   73P/Schwassmann-Wachmann 3-AI",2453836.5,0.6982,3.111,69.97,198.73,349.45,2e+03,11.43
,,,Giorgini,1002358,"   73P/Schwassmann-Wachmann 3-AJ",2453833.5,0.6624,2.786,69.39,199.21,346.88,1.7e+03,11.14
,,,"Nick Mastrodemos",1002359,"   73P/Schwassmann-Wachmann 3-AK",2453839.5,0.6934,3.058,69.38,199.33,349.79,1.95e+03,11.43
,,,"Nick Mastrodemos",1002360,"   73P/Schwassmann-Wachmann 3-AL",2453839.5,0.6998,3.128,69.98,198.72,350.13,2.02e+03,11.44
,,,"Nick Mastrodemos",1002361,"   73P/Schwassmann-Wachmann 3-AM",2453839.5,0.6934,3.036,68.12,201.09,349.71,1.93e+03,11.54
,,,"Nick Mastrodemos",1002363,"   73P/Schwassmann-Wachmann 3-AN",2453839.5,0.6948,3.076,69.89,198.80,349.90,1.97e+03,11.41
,,,"Nick Mastrodemos",1002364,"   73P/Schwassmann-Wachmann 3-AO",2453839.5,0.6938,3.072,70.39,198.17,349.96,1.97e+03,11.33
,,,"Nick Mastrodemos",1002365,"   73P/Schwassmann-Wachmann 3-AP",2453856.5,0.7014,3.144,69.97,198.74,353.53,2.04e+03,11.47
,,,"Nick Mastrodemos",1002366,"   73P/Schwassmann-Wachmann 3-AQ",2453856.5,0.6959,3.088,69.92,198.77,353.12,1.98e+03,11.41
,,,"Nick Mastrodemos",1002367,"   73P/Schwassmann-Wachmann 3-AR",2453839.5,0.6958,3.087,69.97,198.71,350.22,1.98e+03,11.41
,,,"Otto Matic",1002368,"   73P/Schwassmann-Wachmann 3-AS",2453852.5,0.7011,3.141,69.98,198.72,352.87,2.03e+03,11.46
,,,"Nick Mastrodemos",1002369,"   73P/Schwassmann-Wachmann 3-AT",2453839.5,0.6869,3.001,69.85,198.81,349.90,1.9e+03,11.33
,,,"Nick Mastrodemos",1002370,"   73P/Schwassmann-Wachmann 3-AU",2453839.5,0.6928,3.058,69.91,198.76,349.84,1.95e+03,11.38
,,,"Davide Farnocchia",1002371,"   73P/Schwassmann-Wachmann 3-AV",2453839.5,0.6934,3.062,69.87,198.86,350.16,1.96e+03,11.40
,,,"Davide Farnocchia",1002372,"   73P/Schwassmann-Wachmann 3-AW",2453846.5,0.6482,2.678,69.48,199.09,349.16,1.6e+03,10.98
,,,"Nick Mastrodemos",1002373,"   73P/Schwassmann-Wachmann 3-AX",2453839.5,0.6925,3.05,69.47,199.25,349.55,1.95e+03,11.43
,,,"Davide Farnocchia",1002374,"   73P/Schwassmann-Wachmann 3-AY",2453846.5,0.6640,2.8,69.59,199.02,349.69,1.71e+03,11.13
,,,"Davide Farnocchia",1002375,"   73P/Schwassmann-Wachmann 3-AZ",2453847.5,0.6441,2.647,69.50,199.04,349.47,1.57e+03,10.93
,,,"Nick Mastrodemos",1002376,"   73P/Schwassmann-Wachmann 3-BA",2453839.5,0.6824,2.961,69.92,198.69,349.64,1.86e+03,11.27
,,,"Nick Mastrodemos",1002377,"   73P/Schwassmann-Wachmann 3-BB",2453839.5,0.6824,2.968,70.47,197.93,349.57,1.87e+03,11.19
,,,"Nick Mastrodemos",1002378,"   73P/Schwassmann-Wachmann 3-BC",2453856.5,0.7005,3.134,69.96,198.75,353.50,2.03e+03,11.46
,,,"Nick Mastrodemos",1002379,"   73P/Schwassmann-Wachmann 3-BD",2453839.5,0.6824,2.979,71.42,196.46,349.81,1.88e+03,10.97
,,,"Nick Mastrodemos",1002380,"   73P/Schwassmann-Wachmann 3-BE",2453839.5,0.6824,2.958,69.69,199.00,349.54,1.86e+03,11.32
,,,"Nick Mastrodemos",1002381,"   73P/Schwassmann-Wachmann 3-BF",2453856.5,0.6857,2.989,69.83,198.81,352.93,1.89e+03,11.32
