"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
,,,"Otto Matic",1003377,"     C/2015 D1 (SOHO)",2457073.5,0.9943,4.989,95.88,234.96,0.02,4.07e+03,69.62
,,,"Otto Matic",1003382,"     C/2015 F5 (SWAN-Xingming)",2457134.5,0.9777,15.55,287.74,13.39,0.40,2.24e+04,149.26
,,,"Otto Matic",1003429,"     C/2015 X8 (NEOWISE)",2457409.5,0.9391,19.55,191.11,20.40,1.04,3.16e+04,155.28
,,,"Otto Matic",1003554,"     P/2017 Y3 (Leonard)",2458169.5,0.8707,9.865,153.87,67.53,0.28,1.13e+04,27.59
,,,"Otto Matic",1003635,"     P/2019 M2 (ATLAS)",2458780.5,0.6485,3.025,307.60,332.52,23.10,1.92e+03,12.28
,,,"Otto Matic",1003654,"     P/2019 Y3 (Catalina)",2458846.5,0.6958,2.998,139.38,2.27,2.95,1.9e+03,24.64
,,,"Davide Farnocchia",1003675,"     C/2019 Y4-D (ATLAS)",2458952.5,0.9887,22.64,120.58,177.80,359.56,3.93e+04,44.82
,,,"Otto Matic",1003672,"     P/2020 G1 (Pimentel)",2458973.5,0.8596,3.603,240.11,207.64,6.86,2.5e+03,18.47
,,,"Otto Matic",1003699,"     C/2020 M3 (ATLAS)",2459179.5,0.9527,26.82,71.25,328.45,0.22,5.07e+04,23.47
,,,"Otto Matic",1003715,"     C/2020 P4-B",2459068.5,0.9092,1.02,173.43,171.61,358.96,376,28.15
,,,"Otto Matic",1003716,"     C/2020 P4-C",2459069.5,0.9394,1.391,165.26,116.42,0.70,599,37.56
,,,"Otto Matic",1003811,"     P/2021 HS (PANSTARRS)",2459398.5,0.8102,4.196,262.40,46.09,356.06,3.14e+03,12.17
,,,"Otto Matic",1003792,"     P/2021 N1 (ZTF)",2459402.5,0.6768,2.977,301.16,21.19,5.84,1.88e+03,11.51
,,,"Otto Matic",1003909,"     P/2021 PE20 (ATLAS)",2459463.5,0.6708,3.746,99.63,210.45,12.35,2.65e+03,20.02
,,,"Otto Matic",1003804,"     P/2021 Q5 (ATLAS)",2459474.5,0.6242,3.285,239.78,180.89,2.91,2.18e+03,10.73
,,,"Otto Matic",1003914,"     C/2023 E1 (ATLAS)",2460127.5,0.9469,19.33,164.57,105.89,0.01,3.11e+04,38.31
,,,"Otto Matic",1003954,"     C/2023 S3 (Lemmon)",2460300.5,0.9708,28.47,233.83,281.57,359.81,5.55e+04,140.50
,,,"Otto Matic",1004010,"     P/2024 L4 (Rankin)",2460488.5,0.6984,2.229,139.78,53.71,21.84,1.22e+03,10.05
